timestamp,cash,position_quantity,position_mark_value,realized_equity,mtm_equity,unrealized_pnl,drawdown,drawdown_pct
2024-12-15 20:55:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:00:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:05:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:10:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:15:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:20:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:25:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:30:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:35:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:40:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:45:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 21:50:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
