ending_cash,ending_realized_equity,ending_mtm_equity,total_net_pnl,signals,filled_trades,closed_trades,open_end_of_data,ignored_position_open,tp_count,sl_count,win_rate,average_R,profit_factor,max_drawdown,max_drawdown_pct,entry_slippage_last,sample_id
0.0,1.1078252559495496,1.1023243533138445,-18.89217474405045,8764.0,1026.0,1025.0,1.0,7738.0,334.0,691.0,0.3258536585365854,-0.27235537707316465,0.691512193504721,20.028302626470953,0.9487628739700844,0.0005530827273422747,74
-2.220446049250313e-16,1.4099286218584197,1.4026657709137613,-18.59007137814158,8839.0,983.0,982.0,1.0,7856.0,324.0,658.0,0.329938900203666,-0.26011802953156204,0.7266106262663723,19.821287702708165,0.935339998206095,0.000703908096829868,75
-2.220446049250313e-16,1.238185944142323,1.2297230526811298,-18.761814055857677,8639.0,1010.0,1009.0,1.0,7629.0,331.0,678.0,0.3280475718533201,-0.2657835064420156,0.7090739405216133,19.676661772302428,0.942799085999297,0.0006181654148661656,76
-2.220446049250313e-16,1.326431735323613,1.3189204335039317,-18.673568264676387,8921.0,995.0,994.0,1.0,7926.0,327.0,667.0,0.3289738430583501,-0.2630088596579415,0.7013935618235827,19.796793134556538,0.9388594449506392,0.0006622222032457942,77
-2.220446049250313e-16,1.2847560729528666,1.2759185955238586,-18.715243927047133,8806.0,969.0,968.0,1.0,7837.0,315.0,653.0,0.32541322314049587,-0.27367470196280386,0.6808727454592167,20.239918548731733,0.9411085624668932,0.0006414155923799838,78
0.0,1.432091443059722,1.4222977821221248,-18.567908556940278,8927.0,977.0,976.0,1.0,7950.0,322.0,654.0,0.32991803278688525,-0.26018053790982965,0.7152724709816182,19.674386545132137,0.9339595370491726,0.0007149729046863996,79
0.0,1.2962326580709629,1.2857308524158346,-18.703767341929037,8588.0,1023.0,1022.0,1.0,7565.0,338.0,684.0,0.33072407045009783,-0.2577660508806198,0.7022361814402519,20.05960699620768,0.9399496311203059,0.0006471452875314438,80
0.0,0.9330603203073231,0.9297286057139879,-19.066939679692677,8911.0,1004.0,1003.0,1.0,7907.0,319.0,684.0,0.3180458624127617,-0.2957436420737725,0.6614142893993034,19.70442995869105,0.9555603551386104,0.00046583118046725577,81
-2.220446049250313e-16,1.450178112284263,1.442956051760021,-18.549821887715737,8816.0,976.0,975.0,1.0,7840.0,322.0,653.0,0.3302564102564103,-0.2591669276923018,0.7098665460846169,19.675182325466448,0.9333833198640084,0.0007240026901054792,82
0.0,1.665468387440999,1.6638283384990278,-18.334531612559,8719.0,984.0,983.0,1.0,7735.0,330.0,653.0,0.335707019328586,-0.24283962004068524,0.7171458604050499,19.4780470799391,0.9238383514316498,0.000831486548154872,83
-2.220446049250313e-16,1.5176091838291228,1.5065622769641465,-18.482390816170877,8706.0,970.0,969.0,1.0,7736.0,321.0,648.0,0.33126934984520123,-0.2561326656346688,0.7154224191009316,19.59421879807156,0.929333254266657,0.0007576677115133164,84
-4.440892098500626e-16,1.401364377340112,1.399736115975591,-18.598635622659888,8848.0,993.0,992.0,1.0,7855.0,328.0,664.0,0.33064516129032256,-0.25800242338709106,0.729668247157087,20.782304925658323,0.937483602059912,0.0006996323902684335,85
0.0,1.5207547918725126,1.5128740151762061,-18.479245208127487,8921.0,996.0,995.0,1.0,7925.0,332.0,663.0,0.3336683417085427,-0.248946481909542,0.704592853429096,19.229048404722263,0.9279703175303217,0.0007592381590784851,86
-2.220446049250313e-16,1.2813156836064934,1.2749345781828192,-18.718684316393507,8636.0,993.0,992.0,1.0,7643.0,325.0,667.0,0.3276209677419355,-0.2670613996975745,0.7091590854310607,20.213974377739277,0.9424041755585251,0.0006396979749916663,87
0.0,0.9229961355912124,0.9176564156789141,-19.077003864408788,8721.0,1012.0,1011.0,1.0,7709.0,322.0,689.0,0.31849653808110784,-0.2943936424332278,0.6718601369408705,19.9045186333615,0.9561759125687475,0.00046080662745111154,88
-4.440892098500626e-16,1.9513283736864402,1.941681862021814,-18.04867162631356,8751.0,969.0,968.0,1.0,7782.0,329.0,639.0,0.33987603305785125,-0.23035133316115103,0.7380886071099038,19.158340014030003,0.908659980531498,0.0009742023961477144,89
-2.220446049250313e-16,1.2017687104911303,1.1935020799007847,-18.79823128950887,8588.0,1010.0,1009.0,1.0,7578.0,330.0,679.0,0.3270564915758176,-0.26875228889989505,0.7006039590900615,19.884982330005414,0.9435764330999825,0.0005999840791347648,90
0.0,1.188372422151513,1.1824715628291198,-18.811627577848487,8749.0,999.0,998.0,1.0,7750.0,325.0,673.0,0.3256513026052104,-0.272961534569132,0.6920714117286781,19.91370173292119,0.9443864389452233,0.0005932959704719586,91
-2.220446049250313e-16,1.2107353267115322,1.2030120846119825,-18.789264673288468,8952.0,988.0,987.0,1.0,7964.0,321.0,666.0,0.3252279635258359,-0.2742296474164076,0.6752346231191593,19.700429819919698,0.9437289609245473,0.0006044606701200848,92
-2.220446049250313e-16,1.8753370048721152,1.8734902904620838,-18.124662995127885,8743.0,946.0,945.0,1.0,7797.0,318.0,627.0,0.33650793650793653,-0.2404404714285653,0.7339144555479941,19.531196133553763,0.9139046517819829,0.0009362636388458754,93
-2.220446049250313e-16,1.6017780443782073,1.6002007136965413,-18.398221955621793,8801.0,999.0,998.0,1.0,7802.0,335.0,663.0,0.33567134268537074,-0.2429464894789521,0.7054390451158086,19.899032886188312,0.9275918165843919,0.0007996890887114058,94
-4.440892098500626e-16,1.9394755372599946,1.9295637664543372,-18.060524462740005,8708.0,979.0,978.0,1.0,7729.0,333.0,645.0,0.34049079754601225,-0.22850980521471764,0.7222767032155945,19.187850322850238,0.910177706390781,0.0009682848572017846,95
-2.220446049250313e-16,0.9031922585031715,0.9026799335296487,-19.09680774149683,8690.0,1028.0,1027.0,1.0,7662.0,328.0,699.0,0.3193768257059396,-0.29175673953261305,0.6619308618493769,20.185238326511175,0.9572637773779782,0.0004509195245049658,96
-2.220446049250313e-16,1.1089067855406292,1.1008348852698946,-18.89109321445937,8682.0,995.0,994.0,1.0,7687.0,321.0,673.0,0.32293762575452717,-0.28109035764586937,0.6785770372125962,20.0096511715517,0.9489542000510358,0.0005536226819359785,97
-2.220446049250313e-16,1.2896168082610728,1.2828297459707352,-18.710383191738927,8775.0,1002.0,1001.0,1.0,7773.0,329.0,672.0,0.32867132867132864,-0.263915041958036,0.7172685720335288,19.816829513601164,0.9399067079626652,0.0006438423187311532,98
-2.220446049250313e-16,1.7078022684411884,1.6993221819390805,-18.29219773155881,8901.0,982.0,981.0,1.0,7919.0,330.0,651.0,0.3363914373088685,-0.2407894449541223,0.726409116020359,19.20013125892897,0.9205253911489076,0.0008526217752466741,99
