rank,group,strategy_id,family,timeframe,robustness_score,dev_net_pnl,val_net_pnl,dev_avg_R,val_avg_R,val_profit_factor,val_max_drawdown_pct,dev_closed_trades,val_closed_trades,val_dev_avg_R_ratio,val_dev_pf_ratio,flags,gate_failures,beat_BASELINE_A,beat_RANDOM
73,GROUP 3,G01,TIME / REGIME,15m,,-8.627484294574034,-2.653181618912686,-0.24543189819003983,-0.11222579310344315,0.8486924854652655,0.19945441564449504,221,116,0.45725838381670275,1.2395681716402633,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
74,GROUP 3,G01,TIME / REGIME,1h,,-7.414076317207887,-2.875782085465808,-0.24446373351647807,-0.14806219387754607,0.803401798081021,0.15188805367283417,182,98,0.6056611823265227,1.1302145054194965,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
75,GROUP 3,G01,TIME / REGIME,5m,,-8.599752439226066,-5.0984855424995095,-0.2011511033834537,-0.20002497499999491,0.757858383700408,0.279936482447789,266,140,0.9944015798843914,1.0171927912615741,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
76,GROUP 3,G02,TIME / REGIME,15m,,-11.641450986888035,-5.828101811585135,-0.27614017704917526,-0.22914790624999387,0.723491913680918,0.3128493993395877,305,144,0.829824579308454,1.0579503919139837,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
77,GROUP 3,G02,TIME / REGIME,1h,,-12.71748923352176,-3.813151288464121,-0.399522949392708,-0.17862853571427934,0.7687728678752545,0.20768881080973312,247,112,0.4471045680499765,1.3478470763621335,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,False,True
78,GROUP 3,G02,TIME / REGIME,5m,,-11.856597107554025,-7.120854819334155,-0.25585828698224283,-0.27588507792207145,0.6620947802680234,0.3645801189873871,338,154,1.078272981407159,0.9526224746034792,,dev_avg_R<=0|dev_net_pnl<=0|dev_max_drawdown>60%|val_avg_R<=0|val_net_pnl<=0,True,False
79,GROUP 3,G03,TIME / REGIME,15m,,-9.190916523601027,-6.052514733429902,-0.21364089090908533,-0.26519428244274235,0.6801701237335892,0.31517205089670886,275,131,1.2413086339150097,0.921596479075317,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,False
80,GROUP 3,G03,TIME / REGIME,1h,,-8.07836274039298,-2.869531709634735,-0.22296349999999446,-0.12193711538460997,0.8362661236868374,0.20284038918725084,222,117,0.546892721833901,1.1751592356301128,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,False,True
81,GROUP 3,G03,TIME / REGIME,5m,,-10.169743161536664,-6.26836381462463,-0.20976267337460824,-0.26452664963503086,0.6862381413657076,0.3378510792927569,323,137,1.2610758881901807,0.9173473878177338,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,False
82,GROUP 3,G04,TIME / REGIME,15m,,-5.7223626863606425,-0.6520395181193585,-0.2663188606557324,-0.03405799999999374,0.940114363599239,0.10868521243316098,122,74,0.1278842959756431,1.3888317321256571,,dev_avg_R<=0|dev_net_pnl<=0|val_avg_R<=0|val_net_pnl<=0,True,True
